sensor_no,sensor_id,Average of volume_pl_ph,Average of lanes,link_volume_per_hour,link_volume_period,,geometry,reference_speed,reference_lanes,lane_volume,allowed_link_type_code,blocked_link_type_code
1,10024AB,495,2,990,3960,,"LINESTRING (-112.030198 33.480294, -112.034033 33.480277)",35,2,495,,
2,10024BA,321.6666667,3,965.0000001,3860,,"LINESTRING (-112.034033 33.480277, -112.030198 33.480294)",35,3,321.6666667,,
3,10035AB,137.375,4,549.5,2198,,"LINESTRING (-112.035893 33.447293, -112.032417 33.447248)",35,4,137.375,,
4,10040AB,291.3333333,3,873.9999999,3496,,"LINESTRING (-112.034652 33.431421, -112.031432 33.428976)",35,3,291.3333333,,
5,10040BA,255.1091877,3,765.3275631,3061.310252,,"LINESTRING (-112.031432 33.428976, -112.034652 33.431421)",35,3,255.1091877,,
6,10072AB,1456.625,3,4369.875,17479.5,,"LINESTRING (-112.037585 33.440875, -112.03785 33.433187)",70,3,1456.625,f,a
7,10076AB,1629.125,3,4887.375,19549.5,,"LINESTRING (-112.037299 33.433169, -112.037049 33.441976)",70,3,1629.125,f,a
8,10080AB,1452.791667,3,4358.375001,17433.5,,"LINESTRING (-112.053263 33.427652, -112.044905 33.427257)",70,3,1452.791667,f,a
9,10084AB,1106.875,1,1106.875,4427.5,,"LINESTRING (-112.037455 33.436527, -112.03723 33.440948)",70,1,1106.875,,
10,10085AB,1381.791667,3,4145.375001,16581.5,,"LINESTRING (-112.04458 33.427422, -112.053224 33.427809)",70,3,1381.791667,f,a
11,10127AB,232.7083333,3,698.1249999,2792.5,,"LINESTRING (-112.065095 33.43681, -112.065158 33.433163)",35,3,232.7083333,,
12,10127BA,305.1111111,3,915.3333333,3661.333333,,"LINESTRING (-112.065158 33.433163, -112.065095 33.43681)",35,3,305.1111111,,
13,10184AB,264.1666667,2,528.3333334,2113.333334,,"LINESTRING (-112.047781 33.436789, -112.047788 33.433188)",35,2,264.1666667,,
14,10184BA,288.2222222,3,864.6666666,3458.666666,,"LINESTRING (-112.047788 33.433188, -112.047781 33.436789)",35,3,288.2222222,,
15,10198AB,317.625,3,952.875,3811.5,,"LINESTRING (-112.039499 33.436793, -112.041952 33.436807)",35,3,317.625,,
16,10198BA,257.5,3,772.5,3090,,"LINESTRING (-112.041952 33.436807, -112.039499 33.436793)",35,3,257.5,,
17,10210AB,291.25,2,582.5,2330,,"LINESTRING (-112.036258 33.436789, -112.034662 33.436777)",35,2,291.25,,
18,10210BA,374.75,2,749.5,2998,,"LINESTRING (-112.034662 33.436777, -112.036258 33.436789)",35,2,374.75,,
19,10222AB,176.78125,4,707.125,2828.5,,"LINESTRING (-112.0434 33.44721, -112.038938 33.447283)",35,4,176.78125,,
20,10226AB,289.6875,3,869.0625,3476.25,,"LINESTRING (-112.038918 33.448301, -112.043395 33.448309)",35,3,289.6875,,
21,10239AB,250.25,2,500.5,2002,,"LINESTRING (-112.047718 33.451438, -112.043377 33.451406)",35,2,250.25,,
22,10239BA,264.125,2,528.25,2113,,"LINESTRING (-112.043377 33.451406, -112.047718 33.451438)",35,2,264.125,,
23,10261AB,1024.25,1,1024.25,4097,,"LINESTRING (-112.037443 33.442499, -112.037434 33.440864)",70,1,1024.25,,
24,10332AB,341.7777778,3,1025.333333,4101.333334,,"LINESTRING (-112.065172 33.458682, -112.065185 33.456544)",35,3,341.7777778,,
25,10332BA,298.2857143,3,894.8571429,3579.428572,,"LINESTRING (-112.065185 33.456544, -112.065172 33.458682)",35,3,298.2857143,,
26,10356AB,346.5,3,1039.5,4158,,"LINESTRING (-112.065129 33.465712, -112.065132 33.464426)",35,3,346.5,,
27,10356BA,335.7777778,3,1007.333333,4029.333334,,"LINESTRING (-112.065132 33.464426, -112.065129 33.465712)",35,3,335.7777778,,
28,10360AB,1364.583333,6,8187.499998,32749.99999,,"LINESTRING (-112.052634 33.462275, -112.056424 33.462134)",70,6,1364.583333,f,a
29,10362AB,1527.625,1,1527.625,6110.5,,"LINESTRING (-112.056417 33.461723, -112.052228 33.461894)",70,1,1527.625,,
30,10363AB,1405.71875,5,7028.59375,28114.375,,"LINESTRING (-112.056416 33.461652, -112.05279 33.461798)",70,5,1405.71875,f,a
31,10364AB,1382.25,1,1382.25,5529,,"LINESTRING (-112.053985 33.462125, -112.056424 33.462063)",70,1,1382.25,,
32,10378AB,292.1111111,3,876.3333333,3505.333333,,"LINESTRING (-112.060663 33.480193, -112.056347 33.480195)",35,3,292.1111111,,
33,10378BA,478.3076923,2,956.6153846,3826.461538,,"LINESTRING (-112.056347 33.480195, -112.060663 33.480193)",35,2,478.3076923,,
34,10386AB,434.3333333,2,868.6666666,3474.666666,,"LINESTRING (-112.065067 33.487452, -112.065077 33.483819)",35,2,434.3333333,,
35,10386BA,252.375,3,757.125,3028.5,,"LINESTRING (-112.065077 33.483819, -112.065067 33.487452)",35,3,252.375,,
36,10420AB,253.6111111,3,760.8333333,3043.333333,,"LINESTRING (-112.047659 33.460994, -112.047645 33.459621)",35,3,253.6111111,,
37,10420BA,188.125,3,564.375,2257.5,,"LINESTRING (-112.047645 33.459621, -112.047659 33.460994)",35,3,188.125,,
38,10493AB,415.2666667,2,830.5333334,3322.133334,,"LINESTRING (-112.047615 33.483863, -112.0476 33.480199)",35,2,415.2666667,,
39,10493BA,286.25,2,572.5,2290,,"LINESTRING (-112.0476 33.480199, -112.047615 33.483863)",35,2,286.25,,
40,10519AB,1082.575,3,3247.725,12990.9,,"LINESTRING (-112.038622 33.480521, -112.038689 33.473618)",70,3,1082.575,f,a
41,10520AB,1061.96875,3,3185.90625,12743.625,,"LINESTRING (-112.038377 33.474546, -112.038334 33.480526)",70,3,1061.96875,f,a
42,10530AB,622.25,1,622.25,2489,,"LINESTRING (-112.038554 33.475132, -112.038593 33.47301)",70,1,622.25,,
43,10594AB,577.4,2,1154.8,4619.2,,"LINESTRING (-112.025757 33.437445, -112.020671 33.436751)",39,2,577.4,,
44,10745AB,288.1666667,3,864.5000001,3458,,"LINESTRING (-112.030254 33.462955, -112.030254 33.46399)",35,3,288.1666667,,
45,10745BA,425.1428571,2,850.2857142,3401.142857,,"LINESTRING (-112.030254 33.46399, -112.030254 33.462955)",35,2,425.1428571,,
46,10772AB,411.875,2,823.75,3295,,"LINESTRING (-112.030204 33.487588, -112.030206 33.483963)",40,2,411.875,,
47,10772BA,227.9166667,3,683.7500001,2735,,"LINESTRING (-112.030206 33.483963, -112.030204 33.487588)",40,3,227.9166667,,
48,10780AB,192.875,3,578.625,2314.5,,"LINESTRING (-112.012927 33.465731, -112.008579 33.465715)",40,3,192.875,,
49,10780BA,417.625,2,835.25,3341,,"LINESTRING (-112.008579 33.465715, -112.012927 33.465731)",40,2,417.625,,
50,10800AB,534.875,2,1069.75,4279,,"LINESTRING (-112.012903 33.462069, -112.012926 33.46327)",40,2,534.875,,
51,10800BA,556.375,2,1112.75,4451,,"LINESTRING (-112.012926 33.46327, -112.012903 33.462069)",40,2,556.375,,
52,10849AB,596.125,2,1192.25,4769,,"LINESTRING (-112.047485 33.523717, -112.047493 33.520109)",40,2,596.125,,
53,10849BA,126.5,3,379.5,1518,,"LINESTRING (-112.047493 33.520109, -112.047485 33.523717)",40,3,126.5,,
54,10909AB,826.625,2,1653.25,6613,,"LINESTRING (-112.065005 33.516477, -112.065009 33.51285)",40,2,826.625,,
55,10909BA,160,3,480,1920,,"LINESTRING (-112.065009 33.51285, -112.065005 33.516477)",40,3,160,,
56,10917AB,448,3,1344,5376,,"LINESTRING (-112.065012 33.509222, -112.060639 33.509219)",40,3,448,,
57,10917BA,405.875,2,811.75,3247,,"LINESTRING (-112.060639 33.509219, -112.065012 33.509222)",40,2,405.875,,
58,10998AB,321.8888889,3,965.6666667,3862.666667,,"LINESTRING (-112.038913 33.494761, -112.041038 33.49474)",35,3,321.8888889,,
59,10998BA,326.2083333,3,978.6249999,3914.5,,"LINESTRING (-112.041038 33.49474, -112.038913 33.494761)",35,3,326.2083333,,
60,11007AB,571,2,1142,4568,,"LINESTRING (-112.042269 33.505635, -112.040521 33.505653)",28,2,571,,
61,11007BA,329.875,2,659.75,2639,,"LINESTRING (-112.040521 33.505653, -112.042269 33.505635)",28,2,329.875,,
62,11143AB,644.375,2,1288.75,5155,,"LINESTRING (-112.065225 33.55272, -112.062094 33.552712)",40,2,644.375,,
63,11143BA,392.25,3,1176.75,4707,,"LINESTRING (-112.062094 33.552712, -112.065225 33.55272)",40,3,392.25,,
64,11152AB,1431.583333,3,4294.749999,17179,,"LINESTRING (-112.043475 33.528831, -112.043163 33.53097)",70,3,1431.583333,f,a
65,11153AB,1584.333333,3,4752.999999,19012,,"LINESTRING (-112.043453 33.531011, -112.043738 33.527995)",70,3,1584.333333,f,a
66,11154AB,1361,1,1361,5444,,"LINESTRING (-112.043395 33.530997, -112.043707 33.526972)",70,1,1361,,
67,11157AB,476.625,1,476.625,1906.5,,"LINESTRING (-112.043546 33.526783, -112.043254 33.531004)",70,1,476.625,,
68,11180AB,441.25,2,882.5,3530,,"LINESTRING (-112.044959 33.523789, -112.045887 33.523781)",40,2,441.25,,
69,11180BA,692.375,2,1384.75,5539,,"LINESTRING (-112.045887 33.523781, -112.044959 33.523789)",40,2,692.375,,
70,11247AB,389.125,3,1167.375,4669.5,,"LINESTRING (-112.012999 33.509966, -112.021633 33.509717)",40,3,389.125,,
71,11247BA,437.75,3,1313.25,5253,,"LINESTRING (-112.021633 33.509717, -112.012999 33.509966)",40,3,437.75,,
72,11250AB,398.375,2,796.75,3187,,"LINESTRING (-112.013008 33.506338, -112.012973 33.502584)",40,2,398.375,,
73,11250BA,276.375,3,829.125,3316.5,,"LINESTRING (-112.012973 33.502584, -112.013008 33.506338)",40,3,276.375,,
74,11283AB,433.25,2,866.5,3466,,"LINESTRING (-112.030128 33.519873, -112.030164 33.516598)",40,2,433.25,,
75,11283BA,326.875,2,653.75,2615,,"LINESTRING (-112.030164 33.516598, -112.030128 33.519873)",40,2,326.875,,
76,11323AB,474.125,2,948.25,3793,,"LINESTRING (-112.031595 33.535081, -112.029685 33.532925)",40,2,474.125,,
77,11323BA,730.5,3,2191.5,8766,,"LINESTRING (-112.029685 33.532925, -112.031595 33.535081)",40,3,730.5,,
78,11333AB,369,2,738,2952,,"LINESTRING (-111.969743 33.46557, -111.969774 33.458596)",40,2,369,,
79,11333BA,235.9166667,2,471.8333334,1887.333334,,"LINESTRING (-111.969774 33.458596, -111.969743 33.46557)",40,2,235.9166667,,
80,11335AB,197.25,3,591.75,2367,,"LINESTRING (-111.995228 33.458076, -111.995243 33.45486)",28,3,197.25,,
81,11335BA,112.75,2,225.5,902,,"LINESTRING (-111.995243 33.45486, -111.995228 33.458076)",28,2,112.75,,
82,11339AB,319.875,2,639.75,2559,,"LINESTRING (-111.951377 33.457023, -111.953345 33.453969)",35,2,319.875,,
83,11339BA,154,2,308,1232,,"LINESTRING (-111.953345 33.453969, -111.951377 33.457023)",35,2,154,,
84,11352AB,1399.175,4,5596.7,22386.8,,"LINESTRING (-111.969048 33.443889, -111.967417 33.440046)",70,4,1399.175,f,a
