agent_id,x_coord,y_coord,hh,mm,ss,speed_mph,o_node_id,d_node_id
cv_nb_001,-77.3,38.6,17,0,0,62.0,1,6
cv_nb_001,-77.299875,38.603448,17,0,2,65.8,,
cv_nb_001,-77.299844,38.606897,17,0,4,68.7,,
cv_nb_001,-77.299932,38.610345,17,0,6,70.0,,
cv_nb_001,-77.300071,38.613793,17,0,8,69.3,,
cv_nb_001,-77.300156,38.617241,17,0,10,66.8,,
cv_nb_001,-77.300124,38.62069,17,0,12,63.1,,
cv_nb_001,-77.299997,38.624138,17,0,14,59.2,,
cv_nb_001,-77.299997,38.624138,17,0,16,0.0,,
cv_nb_001,-77.299873,38.627586,17,0,18,55.9,,
cv_nb_001,-77.299845,38.631034,17,0,20,54.2,,
cv_nb_001,-77.299934,38.634483,17,0,22,54.3,,
cv_nb_001,-77.300073,38.637931,17,0,24,56.4,,
cv_nb_001,-77.300157,38.641379,17,0,26,59.8,,
cv_nb_001,-77.300122,38.644828,17,0,28,63.7,,
cv_nb_001,-77.299995,38.648276,17,0,30,67.3,,
cv_nb_001,-77.299871,38.651724,17,0,32,69.5,,
cv_nb_001,-77.299845,38.655172,17,0,34,69.9,,
cv_nb_001,-77.299937,38.658621,17,0,36,68.4,,
cv_nb_001,-77.300076,38.662069,17,0,38,65.3,,
cv_nb_001,-77.300076,38.662069,17,0,40,0.0,,
cv_nb_001,-77.300157,38.665517,17,0,42,61.4,,
cv_nb_001,-77.30012,38.668966,17,0,44,57.6,,
cv_nb_001,-77.299992,38.672414,17,0,46,55.0,,
cv_nb_001,-77.29987,38.675862,17,0,48,54.0,,
cv_nb_001,-77.299846,38.67931,17,0,50,55.0,,
cv_nb_001,-77.299939,38.682759,17,0,52,57.7,,
cv_nb_001,-77.300078,38.686207,17,0,54,61.5,,
cv_nb_001,-77.300158,38.689655,17,0,56,65.4,,
cv_nb_001,-77.300118,38.693103,17,0,58,68.4,,
cv_nb_001,-77.299989,38.696552,17,0,60,69.9,,
cv_nb_001,-77.299868,38.7,17,0,62,69.5,,
