agent_id,o_node_id,d_node_id,o_zone_id,d_zone_id,matching_link_from_node_id,matching_link_to_node_id,matching_link_id,node_sequence,geometry,time_sequence
89398,0,0,0,0,1498,250,2050,,"LINESTRING (-2.2647708 53.4847242, -2.2647338 53.4859066)",
89399,0,0,0,0,250,251,2051,,"LINESTRING (-2.2647338 53.4859066, -2.2646622 53.4866887, -2.2646558 53.4867592, -2.2646215 53.4868613, -2.2645536 53.4869656, -2.264448 53.487079, -2.2643488 53.4871558)",
89400,0,0,0,0,250,251,2051,,"LINESTRING (-2.2647338 53.4859066, -2.2646622 53.4866887, -2.2646558 53.4867592, -2.2646215 53.4868613, -2.2645536 53.4869656, -2.264448 53.487079, -2.2643488 53.4871558)",
89401,0,0,0,0,1720,1978,3053,,"LINESTRING (-2.2639437 53.486762, -2.2639673 53.4870879, -2.2638707 53.4871964, -2.2636669 53.4872219, -2.2633664 53.487356)",
89402,0,0,0,0,947,523,2250,,"LINESTRING (-2.2640239 53.4880309, -2.2640054 53.4878647, -2.2639913 53.4877647, -2.2639029 53.4874361)",
89403,0,0,0,0,619,1495,142,,"LINESTRING (-2.2617266 53.4884348, -2.2629491 53.4878976)",
89404,0,0,0,0,1753,1758,2994,,"LINESTRING (-2.2609338 53.4891807, -2.2602289 53.489501)",
89405,0,0,0,0,1499,547,140,,"LINESTRING (-2.2588494 53.4896953, -2.2590691 53.4896092, -2.2597451 53.4893177)",
89406,0,0,0,0,1499,547,140,,"LINESTRING (-2.2588494 53.4896953, -2.2590691 53.4896092, -2.2597451 53.4893177)",
89407,0,0,0,0,1499,527,732,,"LINESTRING (-2.2588494 53.4896953, -2.2583952 53.48988, -2.2582864 53.4898849, -2.2576309 53.4899145)",
89408,0,0,0,0,1500,1499,4148,,"LINESTRING (-2.2594245 53.4904189, -2.2593928 53.4903603, -2.2592518 53.4900713, -2.2589982 53.4897979, -2.2588977 53.4897217, -2.2588494 53.4896953)",
89409,0,0,0,0,1500,1499,4148,,"LINESTRING (-2.2594245 53.4904189, -2.2593928 53.4903603, -2.2592518 53.4900713, -2.2589982 53.4897979, -2.2588977 53.4897217, -2.2588494 53.4896953)",
89410,0,0,0,0,1500,1162,2653,,"LINESTRING (-2.2594245 53.4904189, -2.2595488 53.4907911)",
89411,0,0,0,0,1162,1968,2477,,"LINESTRING (-2.2595488 53.4907911, -2.2595468 53.4908459)",
89412,0,0,0,0,1968,2130,2479,,"LINESTRING (-2.2595468 53.4908459, -2.2595405 53.4910175)",
89413,0,0,0,0,2130,1970,2481,,"LINESTRING (-2.2595405 53.4910175, -2.259536 53.4911415, -2.2595188 53.4914399)",
89414,0,0,0,0,2954,2955,5864,,"LINESTRING (-2.2558844 53.4892685, -2.2561348 53.4891182, -2.2562503 53.4891044)",
89415,0,0,0,0,2955,529,738,,"LINESTRING (-2.2562503 53.4891044, -2.2562661 53.4889838, -2.2558284 53.4886927)",
89416,0,0,0,0,2955,529,738,,"LINESTRING (-2.2562503 53.4891044, -2.2562661 53.4889838, -2.2558284 53.4886927)",
89417,0,0,0,0,528,2955,736,,"LINESTRING (-2.2562221 53.4893634, -2.2562503 53.4891044)",
89418,0,0,0,0,2954,528,1809,,"LINESTRING (-2.2558844 53.4892685, -2.2558594 53.4893144, -2.2558624 53.4893333, -2.2558781 53.4893494, -2.2562221 53.4893634)",
89419,0,0,0,0,2954,2955,5864,,"LINESTRING (-2.2558844 53.4892685, -2.2561348 53.4891182, -2.2562503 53.4891044)",
89420,0,0,0,0,2954,2955,5864,,"LINESTRING (-2.2558844 53.4892685, -2.2561348 53.4891182, -2.2562503 53.4891044)",
89421,0,0,0,0,527,528,734,,"LINESTRING (-2.2576309 53.4899145, -2.2566204 53.4899238, -2.2563004 53.489857, -2.2561889 53.4896936, -2.2561971 53.4895929, -2.2562221 53.4893634)",
89422,0,0,0,0,1499,527,732,,"LINESTRING (-2.2588494 53.4896953, -2.2583952 53.48988, -2.2582864 53.4898849, -2.2576309 53.4899145)",
89423,0,0,0,0,1499,527,732,,"LINESTRING (-2.2588494 53.4896953, -2.2583952 53.48988, -2.2582864 53.4898849, -2.2576309 53.4899145)",
89424,0,0,0,0,1499,527,732,,"LINESTRING (-2.2588494 53.4896953, -2.2583952 53.48988, -2.2582864 53.4898849, -2.2576309 53.4899145)",
89425,0,0,0,0,1499,527,732,,"LINESTRING (-2.2588494 53.4896953, -2.2583952 53.48988, -2.2582864 53.4898849, -2.2576309 53.4899145)",
89426,0,0,0,0,1499,527,732,,"LINESTRING (-2.2588494 53.4896953, -2.2583952 53.48988, -2.2582864 53.4898849, -2.2576309 53.4899145)",
89427,0,0,0,0,1445,1446,4459,,"LINESTRING (-2.2536785 53.486818, -2.2536332 53.4868548)",
89428,0,0,0,0,1548,1449,4337,,"LINESTRING (-2.2547345 53.4874129, -2.254372 53.4872475, -2.2542152 53.4871648)",
89429,0,0,0,0,1548,1740,2590,,"LINESTRING (-2.2547345 53.4874129, -2.2554808 53.4878979)",
89430,0,0,0,0,2015,1530,2592,,"LINESTRING (-2.2555839 53.4879722, -2.2559604 53.4882335, -2.2567006 53.4885934, -2.2571402 53.488779)",
89431,0,0,0,0,1530,1499,2593,,"LINESTRING (-2.2571402 53.488779, -2.2575619 53.4889785, -2.2578129 53.4891093, -2.2584619 53.4894705, -2.2588494 53.4896953)",
89432,0,0,0,0,1530,1499,2593,,"LINESTRING (-2.2571402 53.488779, -2.2575619 53.4889785, -2.2578129 53.4891093, -2.2584619 53.4894705, -2.2588494 53.4896953)",
89433,0,0,0,0,1499,527,732,,"LINESTRING (-2.2588494 53.4896953, -2.2583952 53.48988, -2.2582864 53.4898849, -2.2576309 53.4899145)",
89434,0,0,0,0,1500,1499,4148,,"LINESTRING (-2.2594245 53.4904189, -2.2593928 53.4903603, -2.2592518 53.4900713, -2.2589982 53.4897979, -2.2588977 53.4897217, -2.2588494 53.4896953)",
89435,0,0,0,0,1499,527,732,,"LINESTRING (-2.2588494 53.4896953, -2.2583952 53.48988, -2.2582864 53.4898849, -2.2576309 53.4899145)",
